SKU,Size,Quantity,Price
G25950,6us,1,3478260.87
G25950,5us,1,3478260.87
CQ1827,9.5us,1,4347826.087
162232M236022,7us,1,9673913.043
162232M236022,6.5us,1,9673913.043
BY2596,7.5us,1,5434782.609
BA7213,5us,1,5434782.609
BY2911,7.5us,1,16304347.83
 AF5779,8.5us,1,16304347.83
FU9006,7.5us,1,13043478.26
CP9652,10us,1,11413043.48
CP9652,8us,2,11413043.48
CP9652,7.5us,2,11413043.48
CP9652,6us,1,11413043.48
CP9652,5.5us,2,11413043.48
CP9652,5us,2,11413043.48
CP9652,4.5us,1,11413043.48
EF2367,10.5us,1,17934782.61
EG7492,11.5us,1,12500000
EE9614,9us,3,8152173.913
EE9614,8.5us,7,8152173.913
B37613,8us,1,2173913.043
150205C,8.5us,2,4891304.348
150205C,8us,3,4891304.348
150205C,7us,1,4891304.348
150205C,5.5us,2,4891304.348
150205C,4us,1,4891304.348
150207C,8.5us,3,4891304.348
150207C,8us,4,4891304.348
150207C,5.5us,1,4891304.348
150207C,5us,1,4891304.348
150207C,4us,2,4891304.348
T00853H063,8us,1,25000000
553558-030,10.5us,1,7065217.391
553558-030,10us,2,7065217.391
553558-030,9.5us,2,7065217.391
553558-030,9us,3,7065217.391
BV0072-001,4.5us,2,8695652.174
150206C,10us,1,4891304.348
150204C-41,10us,1,4891304.348
fv3573,9.5us,2,9239130.435
fv3573,9us,4,9239130.435
EG6872,1.5 us,1,6304347.826
EG6872,1us,1,6304347.826
EG6872,12k us,1,6304347.826
BV0073-301,10us,1,14130434.78
VN0A33TAKXY,6.5us,1,5652173.913
VN0A33TAKXY,6us,2,5652173.913
FW5190-5,4.5us,2,7608695.652
FW5190-5,4us,4,7608695.652
DB2908,6us,1,18478260.87
BB9544,8.5us,1,5978260.87
831279-100,8us,1,4891304.348
FY3729,8.5us,1,9782608.696
CK3172-002,6.5us,1,4673913.043
CK3172-002,6us,1,4673913.043
CN8607-002,8us,1,206521739.1
554724-069,11us,1,5000000
554724-069,10us,1,5000000
554724-069,6.5us,2,5000000
554724-069,6us,1,5000000
554724-069,5.5us,2,2826086.957
554724-069,5us,3,5000000
554724-069,4.5us,2,5000000
554724-069,4us,3,5000000
554724-069,3.5us,1,5000000
DD3223-100,6us,2,16304347.83
553558-124,10us,2,5217391.304
553558-124,9.5us,1,5217391.304
553558-124,9us,1,5217391.304
553558-124,8us,2,5217391.304
315122-111,9us,1,3152173.913
315122-111,8.5us,6,3152173.913
