ProvinceName,ProvinceID,ProvinceCode,DistrictName,DistrictCode,DistrictID,WardName,Code,WardCode
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Bình,1,510101
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Long,2,510102
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Đông Xuyên,3,510103
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Xuyên,4,510104
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Bình Đức,5,510105
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Bình Khánh,6,510106
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Phước,7,510107
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Quý,8,510108
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Thới,9,510109
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Thạnh,10,510110
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Phường Mỹ Hòa,11,510111
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Xã Mỹ Khánh,12,510112
An Giang,217,76,Thành phố Long Xuyên,5101,1566,Xã Mỹ Hoà Hưng,13,510113
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Phường Châu Phú B,1,510201
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Phường Châu Phú A,2,510202
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Phường Vĩnh Mỹ,3,510203
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Phường Núi Sam,4,510204
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Phường Vĩnh Ngươn,5,510205
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Xã Vĩnh Tế,6,510206
An Giang,217,76,Thành phố Châu Đốc,5102,1753,Xã Vĩnh Châu,7,510207
An Giang,217,76,Huyện An Phú,5103,1754,Thị trấn An Phú,1,510301
An Giang,217,76,Huyện An Phú,5103,1754,Xã Khánh An,2,510302
An Giang,217,76,Huyện An Phú,5103,1754,Thị Trấn Long Bình,3,510303
An Giang,217,76,Huyện An Phú,5103,1754,Xã Khánh Bình,4,510304
An Giang,217,76,Huyện An Phú,5103,1754,Xã Quốc Thái,5,510305
An Giang,217,76,Huyện An Phú,5103,1754,Xã Nhơn Hội,6,510306
An Giang,217,76,Huyện An Phú,5103,1754,Xã Phú Hữu,7,510307
An Giang,217,76,Huyện An Phú,5103,1754,Xã Phú Hội,8,510308
An Giang,217,76,Huyện An Phú,5103,1754,Xã Phước Hưng,9,510309
An Giang,217,76,Huyện An Phú,5103,1754,Xã Vĩnh Lộc,10,510310
An Giang,217,76,Huyện An Phú,5103,1754,Xã Vĩnh Hậu,11,510311
An Giang,217,76,Huyện An Phú,5103,1754,Xã Vĩnh Trường,12,510312
An Giang,217,76,Huyện An Phú,5103,1754,Xã Vĩnh Hội Đông,13,510313
An Giang,217,76,Huyện An Phú,5103,1754,Xã Đa Phước,14,510314
An Giang,217,76,Huyện Tân Châu,5104,1755,Phường Long Thạnh,1,510401
An Giang,217,76,Huyện Tân Châu,5104,1755,Phường Long Hưng,2,510402
An Giang,217,76,Huyện Tân Châu,5104,1755,Phường Long Châu,3,510403
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Phú Lộc,4,510404
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Vĩnh Xương,5,510405
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Vĩnh Hòa,6,510406
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Tân Thạnh,7,510407
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Tân An,8,510408
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Long An,9,510409
An Giang,217,76,Huyện Tân Châu,5104,1755,Phường Long Phú,10,510410
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Châu Phong,11,510411
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Phú Vĩnh,12,510412
An Giang,217,76,Huyện Tân Châu,5104,1755,Xã Lê Chánh,13,510413
An Giang,217,76,Huyện Tân Châu,5104,1755,Phường Long Sơn,14,510414
An Giang,217,76,Huyện Phú Tân,5105,1756,Thị trấn Phú Mỹ,1,510501
An Giang,217,76,Huyện Phú Tân,5105,1756,Thị trấn Chợ Vàm,2,510502
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Long Hoà,3,510503
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Long,4,510504
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Lâm,5,510505
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Hiệp,6,510506
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Thạnh,7,510507
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Hoà Lạc,8,510508
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Thành,9,510509
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú An,10,510510
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Xuân,11,510511
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Hiệp Xương,12,510512
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Bình,13,510513
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Thọ,14,510514
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Phú Hưng,15,510515
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Bình Thạnh Đông,16,510516
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Tân Hòa,17,510517
An Giang,217,76,Huyện Phú Tân,5105,1756,Xã Tân Trung,18,510518
An Giang,217,76,Huyện Châu Phú,5108,1758,Thị trấn Cái Dầu,1,510801
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Khánh Hòa,8,510808
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Mỹ Đức,9,510809
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Mỹ Phú,10,510810
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Ô Long Vỹ,11,510811
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Vĩnh Thạnh Trung,13,510813
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Thạnh Mỹ Tây,12,510812
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Long,3,510803
An Giang,217,76,Huyện Châu Phú,5108,1758,Xã Bình Mỹ,4,510804
